Nodes: 1000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 26.36, AvgRadius: 8.26, MaxRadius: 8.63, ViolationRate: 0.0%
Nodes: 2000000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 55.16, AvgRadius: 8.23, MaxRadius: 8.59, ViolationRate: 0.0%
Nodes: 1000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.09, AvgRadius: 7.69, MaxRadius: 9.52, ViolationRate: 1.0%
Nodes: 2000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.11, AvgRadius: 7.91, MaxRadius: 9.11, ViolationRate: 0.0%
Nodes: 5000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.19, AvgRadius: 8.11, MaxRadius: 8.78, ViolationRate: 0.0%
Nodes: 10000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.37, AvgRadius: 8.16, MaxRadius: 8.94, ViolationRate: 0.0%
Nodes: 20000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.52, AvgRadius: 8.23, MaxRadius: 9.00, ViolationRate: 0.0%
Nodes: 50000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.09, AvgRadius: 8.28, MaxRadius: 8.68, ViolationRate: 0.0%
Nodes: 100000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.94, AvgRadius: 8.28, MaxRadius: 8.76, ViolationRate: 0.0%
Nodes: 200000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 4.36, AvgRadius: 8.31, MaxRadius: 8.64, ViolationRate: 0.0%
Nodes: 500000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 13.70, AvgRadius: 8.28, MaxRadius: 8.58, ViolationRate: 0.0%
Nodes: 1000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.10, AvgRadius: 7.67, MaxRadius: 9.75, ViolationRate: 3.0%
Nodes: 2000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.11, AvgRadius: 7.95, MaxRadius: 8.98, ViolationRate: 0.0%
Nodes: 5000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.20, AvgRadius: 8.14, MaxRadius: 9.09, ViolationRate: 0.0%
Nodes: 10000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.23, AvgRadius: 8.13, MaxRadius: 8.78, ViolationRate: 0.0%
Nodes: 20000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.40, AvgRadius: 8.24, MaxRadius: 8.81, ViolationRate: 0.0%
Nodes: 50000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.97, AvgRadius: 8.26, MaxRadius: 8.74, ViolationRate: 0.0%
Nodes: 100000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.95, AvgRadius: 8.28, MaxRadius: 8.79, ViolationRate: 0.0%
Nodes: 200000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 4.11, AvgRadius: 8.34, MaxRadius: 9.78, ViolationRate: 0.0%
Nodes: 500000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 12.34, AvgRadius: 8.24, MaxRadius: 8.55, ViolationRate: 0.0%
Nodes: 1000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.08, AvgRadius: 7.66, MaxRadius: 9.06, ViolationRate: 0.0%
Nodes: 2000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.13, AvgRadius: 7.90, MaxRadius: 9.78, ViolationRate: 1.0%
Nodes: 5000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.17, AvgRadius: 8.09, MaxRadius: 8.96, ViolationRate: 0.0%
Nodes: 10000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.34, AvgRadius: 8.16, MaxRadius: 9.11, ViolationRate: 0.0%
Nodes: 20000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.45, AvgRadius: 8.23, MaxRadius: 8.90, ViolationRate: 0.0%
